message,is_spam
Your registered mobile 9876543210 has received a transaction of Rs 1200 from DEPTSTORE. Your OTP for confirmation is 483920. Use it within 15 minutes.,FALSE
Traffic Police YP: Arrair e-challan Rs. 3500 for your vehicle (AB-12 CD-3456) due to speed violation. Pay within 3 days to avoid court action. Pay here: <URL>,TRUE
"Dear Prakash, your IRCTC ticket for 28th Mar 2026 from Mumbai to Delhi (SC) is confirmed. Train: GOYATI EXPRESS. Departure: 21:50 from Dadar. Please bring valid ID and check eTicket on the app.",FALSE
"KYC ALERT! Your accnt balance <₹5000> has been flagged for incomplete KYC. Update your PAN & Aadhar now else your accnt will be permanently blocked. Click <URL> to verify securely. Reply YES to confirm.
Urgent.",TRUE
Your IRCTC ticket reservation for 1A 09:40 from Delhi to Mumbai is CONFIRMED. Trn No. 42456789. Track your train status on the IRCTC app or website.,FALSE
Awwwww!! T0003 INCOME TAX REFIYN?? Your Rs. 30800 is pending. Please  go <URL> and submit the details now. URGENT – otherwise your bank acct will get blocked. Happy New Year!!,TRUE
"Your salary of Rs 73,000 from ABC Pvt Ltd has been credited to your account ending 0123. OTP: 485392. Please use it within 5 minutes.",FALSE
"Dear user, a traffic challan of Rs 1500 has been issued for speeding at Seepahwa road today. Urgnt action required! Pay now or your licence will be suspended. Click <URL> to settle and avoid penalty.",TRUE
"Your OTP for online payment of INR 1,250 is 7864. It expires in 3 minutes. Do not share it with anyone.",FALSE
"Hey, Yeh mail sir, your recent courier from Shree Exports is waiting for pickup. Pakage k #Lkd2 delivery failed. Claim it within 48h baad cancel ho jayega. Apna address ko immediate <URL> do.",TRUE
"Hi Rahul, IRCTC Confirmation: Train 22415 from NDLS to BCT on 12-04-2026 is booked. PNR: 1234567890. Seat: 7A. Boarding starts 10:23 AM. Enjoy your trip!",FALSE
Traffic Violation Alert! Your vehicle Accnt 42KA08B has unpaid toll fee on NH 31 near Chandni Chowk. Pay 2000 INR via <URL> before 25th Apr to avoid 5000 INR fine & impounding. KYC updation required.,TRUE
"Dear Srivastav, IRCTC Ticket UDZ12 confirmed for 19-10 10:05 AM. Saddha No. 78665420. Track on app.",FALSE
Congruatulations! Apke Traffic Violation notice 58607 is pending. Pay Rs 600 online ya receive replacement challan: <URL>,TRUE
"Hi Riya, reminder: Doctor appointment with Dr. Sharma on 10/03 at 10:30 AM. Please arrive 15 mins early. Reply YES to confirm. Thanks.",FALSE
"🎉 CONGRATULATIONS! Aapko 5G Data Upgrade FREE mil gaya! Click <URL> to claim 3 months unlimited data. Urgently fill your K Y C and accnt update before 30 hrs. Hurry, offer ends soon!",TRUE
IRCTC: Ticket Confirmation 29-03-26. Train 12378 DL to BCT. Seat 12A. PNR 9876543210. Check e-ticket for details.,FALSE
"CongratulaTions! Aapne FREE 5G Data Pack worth Rs.1200 jeeta hai. Open <URL> to claim now. Urgent, 5 days left!",TRUE
"Hey Rahul, just a reminder that your doctor appointment with Dr. Sharma is scheduled for tomorrow at 10:15 AM in the 3rd floor out-patient department. Please arrive 15 minutes early for registration. Patients coming for blood tests need to bring their ID. See you!",FALSE
Congrats! You’re selected for a FREE 5G data upgrade worth Rs 2000. Click <URL> to claim your one-time offer before it expires within 24 hours. Urgent: Update KYC & activate your new plan. Don’t miss out!,TRUE
ABC Bank: Your OTP is 732169 for the transaction. This code is valid for 5 minutes. Do not share.,FALSE
"Congratulations! Aapka 5GB FREE 5G data voucher hai. Visit <URL> to activate. Urgent, offer 24 hours.",TRUE
Doctor appointment on 26-02-26 at 10:30 AM with Dr. Patel. Confirm by replying 1. Please arrive 15 mins early. <URL>,FALSE
Hey Arjun! Earn 1 lakh per month working from home. Send your resume to <URL> and claim now. Offer ends 30-02-26.,TRUE
Your 6-digit OTP for NetBanking is 739182. Use it within 5 minutes. Do not share with anyone.,FALSE
"CONGRAT! Aapka INCOME TAX REFUND for FY23 of Rs.27,500 hai. K Y C mandatory. Submit bank details <URL> ASAP. KYC mismatched? Pay penalty.",TRUE
IRCTC: Your train ticket from Mumbai to Delhi (Arrival 19:23) is confirmed. Book ID: 456789. Tap <URL> for e-ticket details.,FALSE
FLASH! 5G Data Upgrade Free! Grab 5GB now. Click <URL> to verify account. Hurry!!!,TRUE
"Hey Shreya, don't forget your appointment with Dr. Sharma tomorrow at 2:00 PM at MedLab. Bring your recent reports and any medication you are on. See you then!",FALSE
"Heii! Congratulationrr!! Your Incom Tax refund is Rs.1,00,000 ready. URGENT: claim it now by updating your details at <URL> or you might lose your slot. Time is ticking!",TRUE
"Your salary of Rs 1,50,000 has been credited to your bank account ending 0803. Please check your app for the transaction details. If you notice any unusual activity, reply UNK.",FALSE
KYC Final Notice: Your account has been fulled blocked due to incompleted KYC. Please updte your details now to avoid permanent freeze. Click here for unblok: <URL>.,TRUE
"Your salary of ₹45,000 has been credited to your account ending 5023. Transaction ID: 1234567890.",FALSE
"Traffic challan pending! Lagta hai aapne 20km/h speed limit cross ki. Pay ₹1,530 via <URL> within 48hrs. KYC updte mandatory to avoid arrest notice. Immediate action required!",TRUE
Aapka 4 alpak OTP for Jio login is 5372. Please do NOT share this code with anyone. Valid for 3 minutes only.,FALSE
"Dear User, your Jio ac nt is bl ocked due to unverifnd K Y C. PLease upd ate by clicking <URL> to avoid permanent suspension. Act now!",TRUE
"Your salary of Rs. 45,000.00 has been credited to your account ending in 8845 on 27-03-26. Current balance: Rs. 84,000.00. No further action required.",FALSE
URGENCY! Your konta has been blocked due to K Y C incomplete. Please update your KYC via the official portal <URL> within 2 hours to avoid service disconnection. <URL>,TRUE
Your salary of Rs. 75000 has been credited to account ending 4521. No action needed.,FALSE
✅ ICPT4 RENTAL TPO: You have been selected for a 300% Income Tax Rs. 1200 refund 2024! Claim within 24 hrs or lose chance. Pay Rs. 499 admin fee at <URL>,TRUE
"IRCTC Ticket Status: Your ticket from Jaipur to Delhi on 12 Aug at 10:45 is confirmed. PNR 72941, coach B, seat 6C. Check the app for boarding time and seat details.",FALSE
"Traffic Police Alert! Your challan #8423 is pending Rs.1,800. Pay immediately to avoid court summons. Pay now: <URL>",TRUE
"Dr Sharma: Yaad rahe, aapka doctor appointment kal subah 10:30 baje hai. Jald hi confirmation dein, zaroorat pade to samay badal sakte hain.",FALSE
"Congratulation!! Your Income Tax file is marked **Paid** and you are eligible for Rs 1,20,000 refund. Please fill in your data by 30th Apr to avoid upgrade. Click <URL> urgently.",TRUE
"Dear user, your OTP for login is 493827. It is valid for 5 minutes only. Do not share with anyone.",FALSE
